"ID","Holle_ID","Language_ID","Parameter_ID","Form","English","Collapsed_Holle_ID_Being_Separated","Dutch_in_Single_Holle_ID","Swadesh","Source"
73,"69","id","73_69_BUTTOCKS","pantat","posterior, buttocks",NA,NA,FALSE,"holleli1980"
74,"70","id","74_70_NA","tulang tungging, tulang ekor","tailbone, coccyx",NA,NA,FALSE,"holleli1980"
75,"71","id","75_71_ANUS","dubur, lubang pantat","anus",NA,NA,FALSE,"holleli1980"
76,"72","id","76_72_SHIT (DEFECATE)","berak","to defecate",NA,NA,FALSE,"holleli1980"
77,"73","id","77_73_FAECES (EXCREMENT)","tahi","faeces",NA,NA,FALSE,"holleli1980"
78,"74","id","78_74_FART","kentut","fart",NA,NA,FALSE,"holleli1980"
79,"75","id","79_75_FART","berkentut","to fart",NA,NA,FALSE,"holleli1980"
80,"76","id","80_76_SMELL (STINK)","berbau busuk","to stink, to smell",NA,NA,FALSE,"holleli1980"
81,"77","id","81_77_PENIS","batang pelir","penis",NA,NA,FALSE,"holleli1980"
82,"78","id","82_78_VAGINA","puki, liang peranakan","vagina",NA,NA,FALSE,"holleli1980"
83,"79","id","83_79_TESTICLES","buah pelir","testicle",NA,NA,FALSE,"holleli1980"
84,"80","id","84_80_COPULATE","bersetubuh (manusia)","to have intercourse",NA,NA,FALSE,"holleli1980"
85,"81","id","85_81_COPULATE","bersetubuh (binatang)","to couple",NA,NA,FALSE,"holleli1980"
86,"80/81","id","86_80/81_COPULATE","bersetubuh (manusia)","to have intercourse","80","coitus  uitoefenen (v.mensen)",FALSE,"holleli1980"
87,"80/81","id","87_80/81_COPULATE","bersetubuh (binatang)","to couple","81","coitus uitoefenen (v.dieren)",FALSE,"holleli1980"
88,"82","id","88_82_PISS","kencing (k.k.)","to urinate",NA,NA,FALSE,"holleli1980"
89,"83","id","89_83_URINE","air kencing (k.b.)","piss, urine",NA,NA,FALSE,"holleli1980"
90,"84","id","90_84_LEG","kaki","leg",NA,NA,TRUE,"holleli1980"
91,"85","id","91_85_FOOT OR LEG","kaki (sebelah bawah)","foot (plus lower leg)",NA,NA,FALSE,"holleli1980"
92,"86","id","92_86_FOOT","kaki","foot",NA,NA,TRUE,"holleli1980"
93,"87","id","93_87_SOLE (FOOT)","telapak kaki","sole of the foot",NA,NA,FALSE,"holleli1980"
94,"88","id","94_88_ANKLE","buku kaki, pergelangan kaki","ankle",NA,NA,FALSE,"holleli1980"
95,"89","id","95_89_HEEL","tumit","heel",NA,NA,FALSE,"holleli1980"
96,"90","id","96_90_UPPER LEG (THIGH)","paha","thigh",NA,NA,FALSE,"holleli1980"
97,"91","id","97_91_KNEE","lutut","knee",NA,NA,TRUE,"holleli1980"
98,"92","id","98_92_NA","(pe)lipatan lutut","back of the knee",NA,NA,FALSE,"holleli1980"
99,"93","id","99_93_CALF OF LEG","betis","calf",NA,NA,FALSE,"holleli1980"
100,"94","id","100_94_SHIN","tulang kering","shin",NA,NA,FALSE,"holleli1980"
101,"95","id","101_95_ARM","lengan","arm",NA,NA,FALSE,"holleli1980"
102,"96","id","102_96_ARM OR HAND","tangan (sebelah bawah)","hand plus fore-arm",NA,NA,FALSE,"holleli1980"
103,"97","id","103_97_HAND","tangan","hand",NA,NA,TRUE,"holleli1980"
104,"98","id","104_98_UPPER ARM","pangkal lengan","upper arm",NA,NA,FALSE,"holleli1980"
105,"99","id","105_99_ARMPIT","ketiak","armpit",NA,NA,FALSE,"holleli1980"
106,"100","id","106_100_ELBOW","siku","elbow",NA,NA,FALSE,"holleli1980"
107,"101","id","107_101_WRIST","pergelangan tangan","wrist",NA,NA,FALSE,"holleli1980"
108,"102","id","108_102_PALM OF HAND","telapak tangan","palm of the hand",NA,NA,FALSE,"holleli1980"
109,"103","id","109_103_NA","rajah tangan","lines in the palm of the hand",NA,NA,FALSE,"holleli1980"
110,"104","id","110_104_FINGER","jari tangan (tunggal)","finger",NA,NA,FALSE,"holleli1980"
111,"105","id","111_105_FINGER","jari tangan (jamak)","fingers",NA,NA,FALSE,"holleli1980"
112,"106","id","112_106_TOE","jari kaki","toe",NA,NA,FALSE,"holleli1980"
113,"107","id","113_107_FINGERNAIL OR TOENAIL","kuku","(finger)nail",NA,NA,FALSE,"holleli1980"
114,"108","id","114_108_THUMB","ibu jari","thumb",NA,NA,FALSE,"holleli1980"
115,"109","id","115_109_FOREFINGER","telunjuk","index finger",NA,NA,FALSE,"holleli1980"
116,"110","id","116_110_MIDDLE FINGER","jari tengah","middle finger",NA,NA,FALSE,"holleli1980"
117,"111","id","117_111_NA","jari manis","ring finger",NA,NA,FALSE,"holleli1980"
118,"112","id","118_112_LITTLE FINGER","kelingking","little finger",NA,NA,FALSE,"holleli1980"
119,"113","id","119_113_THUMB","ibu jari kaki","the big toe",NA,NA,FALSE,"holleli1980"
120,"114","id","120_114_LITTLE FINGER","kelingking kaki","the little toe",NA,NA,FALSE,"holleli1980"
121,"115","id","121_115_BONE","tulang","bone",NA,NA,TRUE,"holleli1980"
122,"116","id","122_116_BLOOD","darah","blood",NA,NA,TRUE,"holleli1980"
123,"117","id","123_117_FLESH OR MEAT","daging","flesh",NA,NA,FALSE,"holleli1980"
124,"118","id","124_118_TENDON","urat","tendon",NA,NA,FALSE,"holleli1980"
125,"119","id","125_119_NERVE","syaraf","nerve",NA,NA,FALSE,"holleli1980"
126,"120","id","126_120_TENDON","urat, syaraf","sinew, nerve",NA,NA,FALSE,"holleli1980"
127,"121","id","127_121_SKIN","kulit","skin",NA,NA,TRUE,"holleli1980"
128,"122","id","128_122_HAIR (BODY)","bulu","body hair",NA,NA,FALSE,"holleli1980"
129,"123","id","129_123_FUR","bulu (binatang)","body hair (animal)",NA,NA,FALSE,"holleli1980"
130,"122/123","id","130_122/123_HAIR (BODY)","bulu","body hair","122","haar op het lichaam",FALSE,"holleli1980"
131,"122/123","id","131_122/123_FUR","bulu (binatang)","body hair (animal)","123","haar op het lichaam (v. dieren)",FALSE,"holleli1980"
132,"124","id","132_124_SWEAT (SUBSTANCE)","keringat","sweat",NA,NA,FALSE,"holleli1980"
133,"125","id","133_125_SALIVA","ludah","saliva",NA,NA,FALSE,"holleli1980"
134,"126","id","134_126_PHLEGM","dahak","phlegm",NA,NA,FALSE,"holleli1980"
135,"127","id","135_127_BREATH OR BREATHE","bernapas","to breath",NA,NA,FALSE,"holleli1980"
136,"128","id","136_128_EAT","makan","to eat",NA,NA,TRUE,"holleli1980"
137,"129","id","137_129_BE HUNGRY","lapar","hungry",NA,NA,FALSE,"holleli1980"
138,"130","id","138_130_DRINK","minum","to drink",NA,NA,TRUE,"holleli1980"
139,"131","id","139_131_DRUNK","mabuk","drunk",NA,NA,FALSE,"holleli1980"
140,"132","id","140_132_THIRSTY","haus","thirsty",NA,NA,FALSE,"holleli1980"
141,"133","id","141_133_FULL","kenyang, puas","satisfied",NA,NA,FALSE,"holleli1980"
142,"134","id","142_134_SATIATED","kenyang, puas","replete, satisfied",NA,NA,FALSE,"holleli1980"
143,"135","id","143_135_BITE","gigit","to bite",NA,NA,TRUE,"holleli1980"
144,"136","id","144_136_SWALLOW","telan","to swallow down",NA,NA,FALSE,"holleli1980"
145,"137","id","145_137_SWALLOW","telan","to swallow",NA,NA,FALSE,"holleli1980"
146,"138","id","146_138_SLEEP","tidur","to sleep",NA,NA,TRUE,"holleli1980"
147,"139","id","147_139_DREAM (SOMETHING)","bermimpi","to dream",NA,NA,FALSE,"holleli1980"
148,"140","id","148_140_DREAM","impian","dream",NA,NA,FALSE,"holleli1980"
149,"139/140","id","149_139/140_DREAM (SOMETHING)","bermimpi","to dream","139","dromen",FALSE,"holleli1980"
150,"139/140","id","150_139/140_DREAM","impian","dream","140","droom",FALSE,"holleli1980"
151,"141","id","151_141_SLEEPY","mengantuk","sleepy",NA,NA,FALSE,"holleli1980"
152,"142","id","152_142_WAKE UP","sadar, bangun","to wake up",NA,NA,FALSE,"holleli1980"
153,"143","id","153_143_RISE (ONESELF)","bangun dari duduk, tidur","to get up",NA,NA,FALSE,"holleli1980"
154,"144","id","154_144_STAND","berdiri","to stand",NA,NA,TRUE,"holleli1980"
155,"145","id","155_145_WALK","berjalan","to walk",NA,NA,TRUE,"holleli1980"
156,"146","id","156_146_LIE (REST)","telentang","to lie supine",NA,NA,FALSE,"holleli1980"
157,"147","id","157_147_LIE DOWN","tiarap","to lie prone",NA,NA,FALSE,"holleli1980"
158,"148","id","158_148_LIE DOWN","berbaring","to lie",NA,NA,TRUE,"holleli1980"
159,"149","id","159_149_SIT DOWN","duduk (di atas kursi)","to sit (on a chair)",NA,NA,TRUE,"holleli1980"
160,"150","id","160_150_NA","bersila","to sit (with the legs crossed)",NA,NA,TRUE,"holleli1980"
161,"151","id","161_151_NA","bertimpuh","to sit (with the knees bent to one side)",NA,NA,TRUE,"holleli1980"
162,"152","id","162_152_SQUAT","berjongkok","to squat",NA,NA,FALSE,"holleli1980"
163,"153","id","163_153_SWIM","berenang","to swim",NA,NA,TRUE,"holleli1980"
164,"154","id","164_154_WASH","mandi","to take a bath",NA,NA,FALSE,"holleli1980"
165,"155","id","165_155_WASH","memandikan","to wash",NA,NA,TRUE,"holleli1980"
166,"156","id","166_156_STUTTER","gagap","to stammer",NA,NA,FALSE,"holleli1980"
167,"157","id","167_157_NA","berbicara dengan artikulasi uvular","to speak with a burr",NA,NA,FALSE,"holleli1980"
168,"158","id","168_158_VOICE","suara","voice",NA,NA,FALSE,"holleli1980"
169,"159","id","169_159_NA","parau","hoarse",NA,NA,FALSE,"holleli1980"
170,"160","id","170_160_SHOUT","berteriak","to shout",NA,NA,FALSE,"holleli1980"
171,"161","id","171_161_LAUGH","tertawa","to laugh",NA,NA,TRUE,"holleli1980"
172,"162","id","172_162_LAUGH","menertawakan","to laugh at",NA,NA,FALSE,"holleli1980"
173,"163","id","173_163_CRY","menangis","to weep",NA,NA,TRUE,"holleli1980"
174,"164","id","174_164_CRY","menangisi","to weep for",NA,NA,FALSE,"holleli1980"
175,"165","id","175_165_SMILE","tersenyum","to smile",NA,NA,FALSE,"holleli1980"
176,"166","id","176_166_NA","berkeluh kesah, mengeluh","to sigh",NA,NA,FALSE,"holleli1980"
177,"167","id","177_167_SPIT","meludah","to spit",NA,NA,FALSE,"holleli1980"
178,"168","id","178_168_VOMIT","muntah","to vomit",NA,NA,TRUE,"holleli1980"
179,"169","id","179_169_SNEEZE","bersin","to sneeze",NA,NA,FALSE,"holleli1980"
180,"170","id","180_170_COUGH","batuk","to cough",NA,NA,FALSE,"holleli1980"
181,"171","id","181_171_HICCOUGH","bersedu","to hiccup",NA,NA,FALSE,"holleli1980"
182,"172","id","182_172_HICCOUGH","tersedu","hiccups",NA,NA,FALSE,"holleli1980"
183,"173","id","183_173_CHOKE","tersedak","to choke",NA,NA,FALSE,"holleli1980"
184,"174","id","184_174_BELCH","sendawa","belch",NA,NA,FALSE,"holleli1980"
185,"175","id","185_175_BELCH","bersendawa","to belch",NA,NA,FALSE,"holleli1980"
186,"176","id","186_176_YAWN","menguap","to yawn",NA,NA,FALSE,"holleli1980"
187,"177","id","187_177_NA","mengangguk","to nod",NA,NA,FALSE,"holleli1980"
188,"178","id","188_178_PREGNANT","hamil","pregnant",NA,NA,FALSE,"holleli1980"
189,"179","id","189_179_BE BORN","dilahirkan","to be born",NA,NA,FALSE,"holleli1980"
190,"180","id","190_180_PLACENTA","tembuni, ari-ari","after birth",NA,NA,FALSE,"holleli1980"
191,"181","id","191_181_TWINS","anak kembar","twins",NA,NA,FALSE,"holleli1980"
192,"182","id","192_182_BE ALIVE","hidup","to live (alive)",NA,NA,TRUE,"holleli1980"
193,"183","id","193_183_DIE","meninggal dunia","to die",NA,NA,TRUE,"holleli1980"
194,"184","id","194_184_DEATH","kematian","death",NA,NA,FALSE,"holleli1980"
195,"185","id","195_185_DEAD","mati","dead",NA,NA,FALSE,"holleli1980"
196,"183/185","id","196_183/185_DIE","meninggal dunia","to die","183","sterven",FALSE,"holleli1980"
197,"183/185","id","197_183/185_DEAD","mati","dead","185","dood (bijvn.)",FALSE,"holleli1980"
198,"186","id","198_186_NA","orang mati","the deceased",NA,NA,FALSE,"holleli1980"
199,"187","id","199_187_NA","air mayat","liquid formed during decomposition of body",NA,NA,FALSE,"holleli1980"
200,"188","id","200_188_CORPSE","mayat","corpse",NA,NA,FALSE,"holleli1980"
201,"189","id","201_189_COFFIN","peti mati","coffin",NA,NA,FALSE,"holleli1980"
202,"190","id","202_190_BURY","mengubur","to bury",NA,NA,FALSE,"holleli1980"
203,"191","id","203_191_GRAVE","kuburan","grave",NA,NA,FALSE,"holleli1980"
204,"192","id","204_192_KILL","membunuh","to kill",NA,NA,TRUE,"holleli1980"
205,"193","id","205_193_INHERIT","mewarisi","to inherit",NA,NA,FALSE,"holleli1980"
206,"194","id","206_194_NA","warisan","inheritance",NA,NA,FALSE,"holleli1980"
207,"195","id","207_195_INJURE","melukai","to wound",NA,NA,FALSE,"holleli1980"
208,"196","id","208_196_WOUND","luka","wound",NA,NA,FALSE,"holleli1980"
209,"197","id","209_197_INFECTED","luka bernanah","an infected wound",NA,NA,FALSE,"holleli1980"
210,"198","id","210_198_SCAR","bekas luka","scar",NA,NA,FALSE,"holleli1980"
211,"199","id","211_199_SICK","sakit","ill",NA,NA,FALSE,"holleli1980"
212,"200","id","212_200_SICK","merasa sakit","to be ill",NA,NA,FALSE,"holleli1980"
213,"201","id","213_201_HURT (SENSE PAIN)","merasa sakit","to (be in) pain",NA,NA,FALSE,"holleli1980"
214,"202","id","214_202_HEALTHY","sehat","healthy",NA,NA,FALSE,"holleli1980"
215,"203","id","215_203_BOIL (OF SKIN)","bisul","boil",NA,NA,FALSE,"holleli1980"
216,"204","id","216_204_SICK","demam (k.k.)","to be feverish",NA,NA,FALSE,"holleli1980"
217,"205","id","217_205_FEVER","demam (k.b.)","fever",NA,NA,FALSE,"holleli1980"
218,"206","id","218_206_NA","sakit perut","to have a stomach ache",NA,NA,FALSE,"holleli1980"
219,"207","id","219_207_NA","sakit perut","stomach ache",NA,NA,FALSE,"holleli1980"
220,"208","id","220_208_DIARRHEA","menceret","to have diarrhoea",NA,NA,FALSE,"holleli1980"
221,"209","id","221_209_DIARRHEA","menceret (k.b.)","diarrhoea",NA,NA,FALSE,"holleli1980"
222,"210","id","222_210_SMALLPOX","cacar","small pox",NA,NA,FALSE,"holleli1980"
223,"211","id","223_211_MEASLES","campak","measles",NA,NA,FALSE,"holleli1980"
224,"212","id","224_212_SWELLING","bengkak","swelling, swollen",NA,NA,TRUE,"holleli1980"
225,"213","id","225_213_GOITER","gondong","goitre",NA,NA,FALSE,"holleli1980"
226,"214","id","226_214_NA","ruam","eruption (of rash)",NA,NA,FALSE,"holleli1980"
227,"215","id","227_215_TINEA","kaskado","ichthyosis, tinea",NA,NA,FALSE,"holleli1980"
228,"216","id","228_216_NA","patek","framboesia",NA,NA,FALSE,"holleli1980"
229,"217","id","229_217_SCABIES","kudis","scabies",NA,NA,FALSE,"holleli1980"
230,"218","id","230_218_LEPROSY","kusta","leprosy",NA,NA,FALSE,"holleli1980"
231,"219","id","231_219_HEADACHE","sakit kepala, pusing","headache",NA,NA,FALSE,"holleli1980"
232,"220","id","232_220_NA","sengal, encok","rheumatism",NA,NA,FALSE,"holleli1980"
233,"221","id","233_221_COMMON COLD (DISEASE)","sakit selesma","to have a cold",NA,NA,FALSE,"holleli1980"
234,"222","id","234_222_COMMON COLD (DISEASE)","selesma","a cold",NA,NA,FALSE,"holleli1980"
235,"223","id","235_223_NA","kesemutan","gone to sleep (limbs)",NA,NA,FALSE,"holleli1980"
236,"224","id","236_224_NA","kejang","cramp",NA,NA,FALSE,"holleli1980"
237,"225","id","237_225_DISABLED PERSON","lumpuh","paralysed",NA,NA,FALSE,"holleli1980"
238,"226","id","238_226_LAME","timpang","crippled",NA,NA,FALSE,"holleli1980"
239,"227","id","239_227_MUTE PERSON","bisu","mute",NA,NA,FALSE,"holleli1980"
240,"228","id","240_228_DEAF PERSON","tuli","deaf",NA,NA,FALSE,"holleli1980"
241,"229","id","241_229_BLIND","buta","blind",NA,NA,FALSE,"holleli1980"
242,"230","id","242_230_CLOSE (EYES)","memejamkan mata","to shut the eyes",NA,NA,FALSE,"holleli1980"
243,"231","id","243_231_SQUINT-EYED","juling","squinting",NA,NA,FALSE,"holleli1980"
244,"232","id","244_232_CURE","sembuh","cured",NA,NA,FALSE,"holleli1980"
245,"233","id","245_233_MEDICINE","obat","medicine",NA,NA,FALSE,"holleli1980"
246,"234","id","246_234_MAGIC","obat (dari dukun)","medicine (with magic power)",NA,NA,FALSE,"holleli1980"
247,"233/234","id","247_233/234_MEDICINE","obat","medicine","233","geneesmiddel (artzenij zelf)",FALSE,"holleli1980"
248,"233/234","id","248_233/234_MAGIC","obat (dari dukun)","medicine (with magic power)","234","geneesmiddel (met toverkracht)",FALSE,"holleli1980"
249,"235","id","249_235_SHAMAN (FOLK HEALER)","dokter (dukun)","doctor (medicine man)",NA,NA,FALSE,"holleli1980"
250,"236","id","250_236_PERSON","manusia","man, mankind",NA,NA,FALSE,"holleli1980"
251,"237","id","251_237_PEOPLE","orang","people",NA,NA,FALSE,"holleli1980"
252,"238","id","252_238_PEOPLE","orang","people",NA,NA,FALSE,"holleli1980"
253,"236-238","id","253_236-238_PERSON","manusia","man, mankind","236","mens (in de zin van mensdom)",FALSE,"holleli1980"
254,"236-238","id","254_236-238_PEOPLE","orang","people","237","mens (in de zin van de mensen werden gedood)",FALSE,"holleli1980"
255,"236-238","id","255_236-238_PEOPLE","orang","people","238","mens (in de zin van de mensen v. het gebergte zijn onze vijanden)",FALSE,"holleli1980"
256,"239","id","256_239_NAME","nama","name",NA,NA,TRUE,"holleli1980"
257,"240","id","257_240_NAME","julukan","nickname",NA,NA,FALSE,"holleli1980"
258,"241","id","258_241_MALE PERSON","orang laki-laki","man",NA,NA,TRUE,"holleli1980"
259,"242","id","259_242_WOMAN","orang perempuan","woman",NA,NA,TRUE,"holleli1980"
260,"243","id","260_243_MALE (OF PERSON)","laki-laki","male (human)",NA,NA,FALSE,"holleli1980"
261,"244","id","261_244_MALE (OF ANIMAL)","jantan","male (animal)",NA,NA,FALSE,"holleli1980"
262,"243/244","id","262_243/244_MALE (OF PERSON)","laki-laki","male (human)","243","mannelijk (v.d. mens)",FALSE,"holleli1980"
263,"243/244","id","263_243/244_MALE (OF ANIMAL)","jantan","male (animal)","244","mannelijk (v.d.dieren)",FALSE,"holleli1980"
264,"245","id","264_245_FEMALE (OF PERSON)","perempuan","female (human)",NA,NA,FALSE,"holleli1980"
265,"246","id","265_246_FEMALE (OF ANIMAL)","betina","female (animal)",NA,NA,FALSE,"holleli1980"
266,"245/246","id","266_245/246_FEMALE (OF PERSON)","perempuan","female (human)","245","vrouwelijk (v.d.mens)",FALSE,"holleli1980"
267,"245/246","id","267_245/246_FEMALE (OF ANIMAL)","betina","female (animal)","246","vrouwelijk (v.d. dieren)",FALSE,"holleli1980"
268,"247","id","268_247_YOUNG MAN","pemuda (laki-laki)","youth (male)",NA,NA,FALSE,"holleli1980"
269,"248","id","269_248_VIRGIN","gadis","virgin",NA,NA,FALSE,"holleli1980"
270,"249","id","270_249_NA","perawan, kegadisan","virginity",NA,NA,FALSE,"holleli1980"
271,"248/249","id","271_248/249_VIRGIN","gadis","virgin","248","maagd",FALSE,"holleli1980"
272,"248/249","id","272_248/249_NA","perawan, kegadisan","virginity","249","maagdom",FALSE,"holleli1980"
273,"250","id","273_250_BOY OR SON","anak laki-laki","boy, lad",NA,NA,FALSE,"holleli1980"
274,"251","id","274_251_GIRL","gadis kecil","young girl",NA,NA,FALSE,"holleli1980"
275,"252","id","275_252_GIRL","gadis","girl",NA,NA,FALSE,"holleli1980"
276,"253","id","276_253_OLD MAN","laki-laki tua","old man",NA,NA,FALSE,"holleli1980"
277,"254","id","277_254_OLD WOMAN","perempuan tua","old woman",NA,NA,FALSE,"holleli1980"
278,"255","id","278_255_FATHER","ayah","father",NA,NA,TRUE,"holleli1980"
279,"256","id","279_256_MOTHER","ibu","mother",NA,NA,TRUE,"holleli1980"
280,"257","id","280_257_NA","anak sulung","oldest child",NA,NA,FALSE,"holleli1980"
281,"258","id","281_258_NA","anak bungsu","youngest child",NA,NA,FALSE,"holleli1980"
282,"257/258","id","282_257/258_NA","anak sulung","oldest child","257","oudste kind",TRUE,"holleli1980"
283,"257/258","id","283_257/258_NA","anak bungsu","youngest child","258","jongste kind",TRUE,"holleli1980"
284,"259","id","284_259_BOY","kanak-kanak (laki-laki)","little child (male)",NA,NA,FALSE,"holleli1980"
285,"260","id","285_260_GIRL","kanak-kanak (perempuan)","little child (female)",NA,NA,FALSE,"holleli1980"
